Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"1.8 inch SPI TFT LCD Display Module","It will be used to display the current playing song and other details like song artist",1,7.00,"https://www.amazon.in/REES52-1-8-inch-Display-Module/dp/B07JL124HP/ref=sr_1_1?crid=90BHFQGZA61O&dib=eyJ2IjoiMSJ9.8XljGOz5Uv90eWcqqlXafLWtNQMdKaHEiW_f9Rd9MYDKDD8jWhAKVMdeDxu9XsZFoq-SHGvrA6awsj0JoI0SzAn8lG2DXibCVgWsUPlLIu6rZ0JI_su9GRYOBjW751YIYm_LxoRlpo89UC8pAw6mQU1bfdDeecBcMD1niH1GbZh6hy_5yIlFkdjznVriCftqMKvwsMK8z9kn0iyKa309pvyla2l3gUAUp8YLlty32BHBHifYgPQAWmyp3GX1-PxWJuyiN2nItEoCGxktFF0GHrGp145rAsiiUkVIO5AQqEo.0xFBz_JYW6j-YJ4AkOnyJnLwjD6_QLlXsICHsF6Z5NA&dib_tag=se&keywords=1.8""+TFT+display&qid=1773917557&sprefix=1.8+tft+display%2Caps%2C413&sr=8-1","Amazon"
"ESP32 C3 Mini","Its the main brain of the project and will control",1,4.50,"https://www.amazon.in/ROBODUINO-ESP32-C3-Super-Mini-Development/dp/B0G671727L/ref=sr_1_4?crid=164J6S82C31BA&dib=eyJ2IjoiMSJ9.qIlPCkrfmm-W9k53D6VuiuyPFpqd6u8lHAfcwTHNxYn_NjyERH6JZRL3m8B9cUJ-6qzWdIkzLQjl4z1yOfWTS30k4vXGbzrPiNY2fmqxG7_LVaPaCRpD8aKFyaOpmOM3CT5vmecodB6eO5qevDhfW6h6qM8DOLcTLwdAbDpNJKnY3H8khvMyUhwQbqccMwhV18qZbYEmd2qzk0864sno_tdPxkowTKj4PPEAqPyaOZY.LuIv33j0yAV0Xnw8vzXuEQgMKEntcrYrk7YokZIbYuc&dib_tag=se&keywords=ESP32-C3+Mini&qid=1773917349&sprefix=esp32-c3+mini%2Caps%2C479&sr=8-4","Amazon"
